id,method,path,module,operation_id,summary
229,POST,/api/v1/inventory/items/bulk/delete,inventory,bulk_delete_items_api_v1_inventory_items_bulk_delete_post,Bulk Delete Items
230,GET,/api/v1/inventory/items/{item_id},inventory,get_item_api_v1_inventory_items__item_id__get,Get Item
231,DELETE,/api/v1/inventory/items/{item_id},inventory,delete_item_api_v1_inventory_items__item_id__delete,Delete Item
232,GET,/api/v1/inventory/items/{item_id}/movements,inventory,list_movements_api_v1_inventory_items__item_id__movements_get,List Movements
233,POST,/api/v1/inventory/movements,inventory,record_movement_api_v1_inventory_movements_post,Record Movement
234,GET,/api/v1/inventory/requisitions,inventory,list_requisitions_api_v1_inventory_requisitions_get,List Requisitions
235,POST,/api/v1/inventory/requisitions,inventory,create_requisition_api_v1_inventory_requisitions_post,Create Requisition
236,POST,/api/v1/inventory/requisitions/bulk/status,inventory,bulk_update_requisition_status_api_v1_inventory_requisitions_bulk_status_post,Bulk Update Requisition Status
237,PUT,/api/v1/inventory/requisitions/{req_id}/status,inventory,update_requisition_status_api_v1_inventory_requisitions__req_id__status_put,Update Requisition Status
238,GET,/api/v1/lost-found/found,lost-found,list_found_reports_api_v1_lost_found_found_get,List Found Reports
239,POST,/api/v1/lost-found/found,lost-found,report_found_pet_api_v1_lost_found_found_post,Report Found Pet
240,POST,/api/v1/lost-found/found/bulk/delete,lost-found,bulk_delete_found_reports_api_v1_lost_found_found_bulk_delete_post,Bulk Delete Found Reports
241,GET,/api/v1/lost-found/found/{report_id},lost-found,get_found_report_api_v1_lost_found_found__report_id__get,Get Found Report
242,DELETE,/api/v1/lost-found/found/{report_id},lost-found,delete_found_report_api_v1_lost_found_found__report_id__delete,Delete Found Report
243,GET,/api/v1/lost-found/found/{report_id}/matches,lost-found,get_matches_for_found_api_v1_lost_found_found__report_id__matches_get,Get Matches For Found
244,GET,/api/v1/lost-found/lost,lost-found,list_lost_reports_api_v1_lost_found_lost_get,List Lost Reports
245,POST,/api/v1/lost-found/lost,lost-found,report_lost_pet_api_v1_lost_found_lost_post,Report Lost Pet
246,POST,/api/v1/lost-found/lost/bulk/delete,lost-found,bulk_delete_lost_reports_api_v1_lost_found_lost_bulk_delete_post,Bulk Delete Lost Reports
247,GET,/api/v1/lost-found/lost/{report_id},lost-found,get_lost_report_api_v1_lost_found_lost__report_id__get,Get Lost Report
248,DELETE,/api/v1/lost-found/lost/{report_id},lost-found,delete_lost_report_api_v1_lost_found_lost__report_id__delete,Delete Lost Report
249,POST,/api/v1/lost-found/lost/{report_id}/broadcast,lost-found,broadcast_lost_pet_alert_api_v1_lost_found_lost__report_id__broadcast_post,Broadcast Lost Pet Alert
250,GET,/api/v1/lost-found/lost/{report_id}/matches,lost-found,get_matches_for_lost_api_v1_lost_found_lost__report_id__matches_get,Get Matches For Lost
251,POST,/api/v1/lost-found/matches/{match_id}/claim,lost-found,submit_ownership_claim_api_v1_lost_found_matches__match_id__claim_post,Submit Ownership Claim
252,POST,/api/v1/lost-found/matches/{match_id}/claim/review,lost-found,review_ownership_claim_api_v1_lost_found_matches__match_id__claim_review_post,Review Ownership Claim
253,POST,/api/v1/lost-found/matches/{match_id}/resolve,lost-found,resolve_match_api_v1_lost_found_matches__match_id__resolve_post,Resolve Match
254,GET,/api/v1/lost-found/reunion-stories,lost-found,get_reunion_stories_api_v1_lost_found_reunion_stories_get,Get Reunion Stories
255,GET,/api/v1/lost-found/stories,lost-found,get_reunion_stories_api_v1_lost_found_stories_get,Get Reunion Stories
256,POST,/api/v1/medical/administrations,medical,log_medication_administration_api_v1_medical_administrations_post,Log Medication Administration
257,POST,/api/v1/medical/bulk/delete,medical,bulk_delete_entities_api_v1_medical_bulk_delete_post,Bulk Delete Entities
258,POST,/api/v1/medical/bulk/prescriptions/status,medical,bulk_update_prescription_status_api_v1_medical_bulk_prescriptions_status_post,Bulk Update Prescription Status
259,POST,/api/v1/medical/clearance/{dog_id},medical,authorize_adoption_clearance_api_v1_medical_clearance__dog_id__post,Authorize Adoption Clearance
260,GET,/api/v1/medical/clearances/dogs/{dog_id},medical,get_dog_clearances_api_v1_medical_clearances_dogs__dog_id__get,Get Dog Clearances
261,GET,/api/v1/medical/dogs/{dog_id}/administrations,medical,get_dog_administrations_api_v1_medical_dogs__dog_id__administrations_get,Get Dog Administrations
262,GET,/api/v1/medical/dogs/{dog_id}/history,medical,get_medical_history_api_v1_medical_dogs__dog_id__history_get,Get Medical History
263,GET,/api/v1/medical/exams,medical,list_exams_api_v1_medical_exams_get,List Exams
264,POST,/api/v1/medical/exams,medical,perform_clinical_exam_api_v1_medical_exams_post,Perform Clinical Exam
265,GET,/api/v1/medical/prescriptions,medical,list_prescriptions_api_v1_medical_prescriptions_get,List Prescriptions
266,POST,/api/v1/medical/prescriptions,medical,prescribe_medication_api_v1_medical_prescriptions_post,Prescribe Medication
267,PUT,/api/v1/medical/prescriptions/{prescription_id},medical,update_prescription_api_v1_medical_prescriptions__prescription_id__put,Update Prescription
268,GET,/api/v1/medical/prescriptions/{prescription_id}/administrations,medical,get_prescription_administrations_api_v1_medical_prescriptions__prescription_id__administrations_get,Get Prescription Administrations
269,PATCH,/api/v1/medical/prescriptions/{prescription_id}/status,medical,update_prescription_status_api_v1_medical_prescriptions__prescription_id__status_patch,Update Prescription Status
270,GET,/api/v1/medical/treatments,medical,list_treatments_api_v1_medical_treatments_get,List Treatments
271,POST,/api/v1/medical/treatments,medical,record_treatment_api_v1_medical_treatments_post,Record Treatment
272,GET,/api/v1/medical/vaccinations,medical,list_vaccinations_api_v1_medical_vaccinations_get,List Vaccinations
273,POST,/api/v1/medical/vaccinations,medical,administer_vaccine_api_v1_medical_vaccinations_post,Administer Vaccine
274,GET,/api/v1/medical/vaccine-protocols,medical,list_vaccine_protocols_api_v1_medical_vaccine_protocols_get,List Vaccine Protocols
275,POST,/api/v1/medical/vaccine-protocols,medical,create_vaccine_protocol_api_v1_medical_vaccine_protocols_post,Create Vaccine Protocol
