id,method,path,module,operation_id,summary
401,PATCH,/api/v1/shelter/kennels/{kennel_id}/assign/{dog_id},shelter,assign_dog_to_kennel_api_v1_shelter_kennels__kennel_id__assign__dog_id__patch,Assign Dog To Kennel
402,GET,/api/v1/shelter/kennels/{kennel_id}/cleaning-logs,shelter,list_kennel_cleaning_logs_api_v1_shelter_kennels__kennel_id__cleaning_logs_get,List Kennel Cleaning Logs
403,POST,/api/v1/shelter/kennels/{kennel_id}/cleaning-logs,shelter,log_kennel_cleaning_api_v1_shelter_kennels__kennel_id__cleaning_logs_post,Log Kennel Cleaning
404,PUT,/api/v1/shelter/kennels/{kennel_id}/sanitation,shelter,update_kennel_sanitation_api_v1_shelter_kennels__kennel_id__sanitation_put,Update Kennel Sanitation
405,GET,/api/v1/shelter/sections/{section_id}/kennels,shelter,list_kennels_api_v1_shelter_sections__section_id__kennels_get,List Kennels
406,POST,/api/v1/shelter/sections/{section_id}/kennels,shelter,create_kennel_api_v1_shelter_sections__section_id__kennels_post,Create Kennel
407,GET,/api/v1/shelter/transfers,shelter,list_transfers_api_v1_shelter_transfers_get,List Transfers
408,POST,/api/v1/shelter/transfers,shelter,request_transfer_api_v1_shelter_transfers_post,Request Transfer
409,GET,/api/v1/shelter/transfers/{transfer_id},shelter,get_transfer_api_v1_shelter_transfers__transfer_id__get,Get Transfer
410,POST,/api/v1/shelter/transfers/{transfer_id}/confirm-receiver,shelter,confirm_transfer_receiver_api_v1_shelter_transfers__transfer_id__confirm_receiver_post,Confirm Transfer Receiver
411,POST,/api/v1/shelter/transfers/{transfer_id}/confirm-sender,shelter,confirm_transfer_sender_api_v1_shelter_transfers__transfer_id__confirm_sender_post,Confirm Transfer Sender
412,GET,/api/v1/storage,storage,list_files_api_v1_storage_get,List Files
413,POST,/api/v1/storage/bulk/delete,storage,bulk_delete_files_api_v1_storage_bulk_delete_post,Bulk Delete Files
414,GET,/api/v1/storage/entity/{entity_type}/{entity_id},storage,list_files_by_entity_api_v1_storage_entity__entity_type___entity_id__get,List Files By Entity
415,POST,/api/v1/storage/upload-url,storage,request_upload_url_api_v1_storage_upload_url_post,Request Upload Url
416,GET,/api/v1/storage/{file_id},storage,get_file_api_v1_storage__file_id__get,Get File
417,DELETE,/api/v1/storage/{file_id},storage,delete_file_api_v1_storage__file_id__delete,Delete File
418,PUT,/api/v1/storage/{file_id}/confirm,storage,confirm_upload_api_v1_storage__file_id__confirm_put,Confirm Upload
419,GET,/api/v1/storage/{file_id}/download-url,storage,get_download_url_api_v1_storage__file_id__download_url_get,Get Download Url
420,GET,/api/v1/volunteers,volunteers,list_profiles_api_v1_volunteers_get,List Profiles
421,POST,/api/v1/volunteers/apply,volunteers,apply_to_volunteer_api_v1_volunteers_apply_post,Apply To Volunteer
422,POST,/api/v1/volunteers/attendance/{attendance_id}/check-in,volunteers,check_in_api_v1_volunteers_attendance__attendance_id__check_in_post,Check In
423,POST,/api/v1/volunteers/attendance/{attendance_id}/check-out,volunteers,check_out_api_v1_volunteers_attendance__attendance_id__check_out_post,Check Out
424,POST,/api/v1/volunteers/bulk/delete,volunteers,bulk_delete_profiles_api_v1_volunteers_bulk_delete_post,Bulk Delete Profiles
425,POST,/api/v1/volunteers/bulk/status,volunteers,bulk_update_profile_status_api_v1_volunteers_bulk_status_post,Bulk Update Profile Status
426,GET,/api/v1/volunteers/shifts,volunteers,list_shifts_api_v1_volunteers_shifts_get,List Shifts
427,POST,/api/v1/volunteers/shifts,volunteers,create_shift_api_v1_volunteers_shifts_post,Create Shift
428,GET,/api/v1/volunteers/shifts/{shift_id}/attendance,volunteers,list_shift_attendance_api_v1_volunteers_shifts__shift_id__attendance_get,List Shift Attendance
429,POST,/api/v1/volunteers/shifts/{shift_id}/join,volunteers,join_shift_api_v1_volunteers_shifts__shift_id__join_post,Join Shift
430,GET,/api/v1/volunteers/{profile_id},volunteers,get_profile_api_v1_volunteers__profile_id__get,Get Profile
431,PUT,/api/v1/volunteers/{profile_id},volunteers,update_profile_api_v1_volunteers__profile_id__put,Update Profile
432,DELETE,/api/v1/volunteers/{profile_id},volunteers,soft_delete_profile_api_v1_volunteers__profile_id__delete,Soft Delete Profile
433,GET,/api/v1/volunteers/{profile_id}/certificate,volunteers,issue_service_certificate_api_v1_volunteers__profile_id__certificate_get,Issue Service Certificate
434,GET,/api/v1/volunteers/{profile_id}/service-summary,volunteers,get_service_summary_api_v1_volunteers__profile_id__service_summary_get,Get Service Summary
435,GET,/health,unknown,health_health_get,Health
436,GET,/live,unknown,live_live_get,Live
437,GET,/ready,unknown,ready_ready_get,Ready
